"","Timestamp","MonitorID","Raw","BatteryVoltage","SensorType","CurrentHour","HourCount","EventCount","HourlyPulses"
"62",2010-08-01 14:12:00,0,NA,-2.28922427758314,0,14,NA,6,4
"63",2010-08-02 12:17:00,0,NA,-2.50476712783367,0,12,NA,6,3
"65",2010-08-03 17:27:00,0,NA,-2.61897990528597,0,17,NA,6,4
"66",2010-08-04 14:02:00,0,NA,-2.31334943944968,0,14,NA,6,4
"68",2010-08-05 13:02:00,0,NA,-2.76376515035352,0,13,NA,5,4
"70",2010-08-06 17:38:00,0,NA,-2.7042894671841,0,17,NA,6,4
"71",2010-08-07 16:34:00,0,NA,-2.40049138798623,0,16,NA,6,3
"72",2010-08-08 17:31:00,0,NA,-2.70628940805663,0,17,NA,5,3
"73",2010-08-09 12:45:00,0,NA,-2.67651321832787,0,12,NA,6,3
"74",2010-08-10 10:26:00,0,NA,-2.39611141497903,0,10,NA,6,3
"75",2010-08-11 16:40:00,0,NA,-2.27057608525842,0,16,NA,6,3
"77",2010-08-12 15:11:00,0,NA,-2.34338921422801,0,15,NA,6,3
"78",2010-08-13 11:40:00,0,NA,-2.00835395607877,0,11,NA,6,4
"79",2010-08-14 11:21:00,0,NA,-2.12417774133321,0,11,NA,6,4
"80",2010-08-15 18:41:00,0,NA,-2.49557854570356,0,18,NA,6,4
"81",2010-08-16 13:27:00,0,NA,-2.57541644095653,0,13,NA,6,4
"82",2010-08-17 15:50:00,0,NA,-2.47030430911054,0,15,NA,6,4
"83",2010-08-18 14:57:00,0,NA,-2.44348880393997,0,14,NA,6,3
"84",2010-08-19 15:43:00,0,NA,-2.49026566819852,0,15,NA,6,4
"85",2010-08-20 12:56:00,0,NA,-2.46294801869614,0,12,NA,6,4
"87",2010-08-21 10:05:00,0,NA,-2.24057440016427,0,10,NA,6,3
"88",2010-08-22 11:40:00,0,NA,-2.34967291802817,0,11,NA,6,3
"89",2010-08-23 14:15:00,0,NA,-2.27070813676427,0,14,NA,6,4
"90",2010-08-24 14:19:00,0,NA,-2.23427289483076,0,14,NA,6,4
"91",2010-08-25 18:28:00,0,NA,-2.23088312525907,0,18,NA,7,4
"92",2010-08-26 14:53:00,0,NA,-2.50673559167284,0,14,NA,6,4
