"","DateTime","USAF","CloudHeight","Temperature.C","Dewpoint.C","SeaLevelPressure.HPA","RelativeHumidity"
"1",2010-08-22 06:00:00,631500,1800,21.4,14,1016,63
"2",2010-09-11 06:00:00,631500,22000,22,16,1023.8,69
"3",2010-09-21 06:00:00,631500,22000,22.6,15,1016.8,62
"4",2010-09-26 06:00:00,631500,22000,23.2,12,1019.7,49
"5",2010-11-04 06:00:00,631500,22000,19.2,9,1022.8,52
"6",2010-11-28 06:00:00,631500,22000,18.3,3,1021.4,36
"7",2010-12-03 06:00:00,631500,22000,16.6,5,1021.3,46
"8",2010-12-15 06:00:00,631500,22000,20,3,1022.2,32
"9",2011-01-17 06:00:00,631500,22000,17,14,1021.2,83
"10",2011-01-20 06:00:00,631500,22000,19.5,11,1019.2,58
"11",2011-01-25 06:00:00,631500,22000,14.4,10,1021.9,75
"12",2011-03-24 06:00:00,631500,22000,22.6,3,1022.1,28
"13",2011-03-30 06:00:00,631500,22000,21.7,2,1021.5,27
"14",2011-04-04 06:00:00,631500,22000,22,10,1021.3,46
"15",2011-04-17 06:00:00,631500,22000,23.5,15,1022.5,59
"16",2011-04-27 06:00:00,631500,1800,23.1,14,1019.1,57
"17",2011-05-12 06:00:00,631500,22000,25,15,1020,54
"18",2011-06-01 06:00:00,631500,22000,24.2,15,1018.7,57
"19",2011-06-21 06:00:00,631500,22000,22.4,15,1018.4,63
"20",2011-08-27 06:00:00,631500,22000,21.9,15,1019.4,65
"21",2011-09-21 06:00:00,631500,22000,24.8,14,1021.3,51
"22",2011-09-26 06:00:00,631500,22000,21.7,15,1021.1,66
"23",2011-10-17 06:00:00,631500,22000,22.6,9,1010.8,42
"24",2011-11-01 06:00:00,631500,22000,23.7,9,1019.8,39
"25",2011-11-21 06:00:00,631500,22000,14.3,11,1021.2,81
"26",2011-12-01 06:00:00,631500,22000,20.7,13,1022.5,61
"27",2012-06-20 06:00:00,631500,22000,21.8,13,1017.7,57
"28",2012-06-21 06:00:00,631500,22000,21.7,14,1018.6,62
"29",2012-06-25 06:00:00,631500,22000,23.4,13,1018.2,52
"30",2012-06-28 06:00:00,631500,22000,21.6,14,1019,62
"31",2012-07-04 06:00:00,631500,22000,22.3,14,1016.3,59
"32",2012-07-05 06:00:00,631500,1800,21.4,14,1016.5,63
"33",2012-07-08 06:00:00,631500,22000,22.9,14,1017.3,57
"34",2012-07-10 06:00:00,631500,22000,24,12,1017.8,47
"35",2012-07-11 06:00:00,631500,22000,23.4,13,1017.7,52
"36",2012-07-15 06:00:00,631500,22000,22.6,13,1018.4,55
"37",2012-07-18 06:00:00,631500,22000,21.2,13,1018.3,60
"38",2012-08-01 06:00:00,631500,22000,21.1,18,1019.1,83
"39",2012-08-07 06:00:00,631500,22000,21.7,13,1017.6,58
